time,frequency,confidence
10.920,215.805,0.929
10.930,215.805,0.916
10.940,215.805,0.903
10.950,211.689,0.890
10.960,211.689,0.872
10.970,211.689,0.848
10.980,208.426,0.819
10.990,207.652,0.784
11.000,211.689,0.756
11.010,215.805,0.749
11.020,215.805,0.740
11.030,220.000,0.729
11.040,220.000,0.717
11.050,220.000,0.711
11.060,219.506,0.716
11.070,215.805,0.721
11.080,215.805,0.725
11.090,211.689,0.726
11.100,211.689,0.724
11.110,211.689,0.720
11.120,211.689,0.713
11.130,211.689,0.703
11.140,196.000,0.690
11.150,196.075,0.674
11.160,199.393,0.663
11.170,188.594,0.655
11.180,192.247,0.644
11.190,188.594,0.631
11.200,184.999,0.615
11.210,184.863,0.597
11.220,178.009,0.578
11.230,178.009,0.559
11.240,46.249,0.543
11.250,46.249,0.535
11.260,92.499,0.530
11.270,90.735,0.526
11.280,90.735,0.524
11.290,178.009,0.521
11.300,89.004,0.519
11.310,90.734,0.517
11.320,90.735,0.514
11.330,90.732,0.510
11.340,90.718,0.506
11.350,90.735,0.501
11.360,89.004,0.495
11.370,90.735,0.489
11.380,91.037,0.481
11.390,90.735,0.472
11.400,174.650,0.462
11.410,174.614,0.464
11.420,178.009,0.470
11.430,174.614,0.476
11.440,174.975,0.482
11.450,46.249,0.487
11.460,45.367,0.492
11.470,45.367,0.497
11.480,45.367,0.502
11.490,46.249,0.507
11.500,46.249,0.511
11.510,47.115,0.516
11.520,46.249,0.520
11.530,46.249,0.525
11.540,46.249,0.530
11.550,46.231,0.535
11.560,46.249,0.540
11.570,47.148,0.544
11.580,47.149,0.548
11.590,46.945,0.552
11.600,45.380,0.556
11.610,46.249,0.559
