time,frequency,confidence
15.900,220.000,0.923
15.920,220.000,0.930
15.940,220.000,0.927
15.960,220.000,0.921
15.980,215.805,0.917
16.000,215.805,0.904
16.020,215.131,0.909
16.040,214.434,0.912
16.060,215.805,0.908
16.080,211.689,0.900
16.100,211.689,0.888
16.120,211.689,0.870
16.140,211.689,0.842
16.160,211.675,0.802
16.180,211.689,0.748
16.200,211.689,0.676
16.220,215.805,0.591
16.240,215.804,0.490
16.260,168.018,0.394
16.280,168.018,0.387
16.300,168.018,0.443
16.320,215.803,0.485
16.340,219.990,0.515
16.360,171.249,0.534
16.380,171.284,0.539
16.400,171.283,0.531
16.420,199.808,0.508
16.440,203.686,0.470
16.460,215.805,0.411
16.480,168.018,0.319
16.500,155.564,0.237
16.520,50.923,0.244
16.540,50.923,0.254
16.560,146.832,0.264
16.580,149.666,0.271
16.600,149.687,0.318
16.620,399.620,0.418
16.640,399.616,0.448
16.660,144.032,0.393
16.680,146.832,0.484
16.700,144.695,0.586
16.720,146.832,0.667
16.740,141.286,0.730
16.760,144.032,0.774
16.780,144.032,0.808
16.800,144.032,0.832
16.820,144.032,0.846
16.840,146.832,0.863
16.860,146.832,0.872
16.880,149.687,0.875
16.900,152.597,0.871
16.920,152.597,0.861
16.940,138.591,0.851
16.960,138.591,0.842
16.980,141.286,0.830
17.000,144.032,0.815
17.020,174.613,0.831
17.040,174.614,0.857
17.060,174.614,0.874
17.080,171.284,0.881
17.100,171.284,0.877
17.120,174.614,0.866
17.140,174.614,0.846
17.160,178.009,0.820
17.180,181.469,0.789
17.200,187.021,0.760
17.220,215.805,0.814
17.240,207.654,0.856
17.260,207.652,0.885
17.280,207.652,0.901
17.300,203.692,0.904
17.320,203.692,0.896
17.340,203.692,0.898
17.360,199.808,0.887
17.380,195.998,0.863
17.400,195.998,0.831
17.420,195.998,0.786
17.440,199.808,0.721
17.460,246.942,0.783
17.480,246.942,0.854
17.500,251.742,0.905
17.520,251.742,0.941
17.540,251.742,0.961
17.560,251.742,0.968
